epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40574,3.20648,3.83851,2.39938,0.19968,0.15591,0.13753,0.04567,2.89269,6.00514,2.92854,0.00022,0.00022,0.00022
1,7.70475,3.20648,3.83851,2.39938,0.19968,0.15591,0.13752,0.04567,2.89269,6.00514,2.92854,0.00022,0.00022,0.00022
2,15.3675,2.1575,1.91331,1.64594,0.02174,0.32258,0.01438,0.0056,3.38909,132.885,3.61055,0.000450892,0.000450892,0.000450892
3,23.1561,2.05499,1.52136,1.56723,0.03213,0.32258,0.02057,0.00682,2.45477,54.8813,3.0627,0.00067228,0.00067228,0.00067228
4,30.8504,2.01885,1.5252,1.59377,0.00011,0.00538,5e-05,0,4.83083,24.9448,19.7968,0.000884164,0.000884164,0.000884164
5,38.5574,2.03938,1.51127,1.6383,0.08781,0.08602,0.0232,0.00512,4.53603,12.7565,5.86249,0.00108654,0.00108654,0.00108654
6,46.2583,1.99172,1.45064,1.57728,0.58853,0.30108,0.31683,0.13852,3.36785,3.78293,3.40761,0.00127942,0.00127942,0.00127942
7,54.2356,1.92266,1.33737,1.59249,0.11067,0.26344,0.07879,0.02246,2.76693,24.3858,2.90157,0.00146279,0.00146279,0.00146279
8,62.0239,2.02881,1.36518,1.63183,0.01069,0.11828,0.00422,0.0015,nan,nan,nan,0.00163666,0.00163666,0.00163666
9,69.7364,1.95179,1.31963,1.59804,0.61958,0.50788,0.50884,0.19451,3.17939,12.9741,3.3194,0.0016832,0.0016832,0.0016832
10,77.6618,1.94479,1.25863,1.55421,0.73516,0.59696,0.65094,0.26926,2.4502,5.47245,2.43023,0.0016436,0.0016436,0.0016436
11,85.5667,1.92148,1.26414,1.53569,0.63915,0.48925,0.56819,0.28645,2.73187,3.31003,2.36349,0.001604,0.001604,0.001604
12,93.4334,1.90318,1.24554,1.52255,0.77216,0.52842,0.59366,0.26514,2.76767,3.38204,2.67402,0.0015644,0.0015644,0.0015644
13,101.103,1.79944,1.19066,1.47579,0.76185,0.69355,0.71443,0.32187,2.34734,3.85901,2.4345,0.0015248,0.0015248,0.0015248
14,108.988,1.83362,1.15154,1.47708,0.85318,0.6828,0.7878,0.36768,1.91628,3.19731,1.93314,0.0014852,0.0014852,0.0014852
15,116.856,1.84065,1.14547,1.50562,0.55625,0.7043,0.67096,0.3543,2.11867,5.42485,2.08123,0.0014456,0.0014456,0.0014456
16,124.5,1.78689,1.13027,1.4772,0.90674,0.66667,0.81523,0.42306,1.87672,1.85318,1.85064,0.001406,0.001406,0.001406
17,132.369,1.78355,1.1045,1.46262,0.77555,0.6828,0.75493,0.35535,2.34875,3.0065,2.37717,0.0013664,0.0013664,0.0013664
18,140.021,1.81888,1.11187,1.53539,0.78442,0.60215,0.72241,0.32154,2.25241,2.48105,2.33505,0.0013268,0.0013268,0.0013268
19,147.685,1.7722,1.08398,1.46274,0.8743,0.77419,0.86298,0.42471,1.887,2.42574,1.95782,0.0012872,0.0012872,0.0012872
20,155.55,1.78136,1.10481,1.49514,0.8812,0.77419,0.85221,0.45202,1.72303,1.79195,1.76474,0.0012476,0.0012476,0.0012476
21,163.469,1.74057,1.08805,1.46815,0.90882,0.77419,0.88567,0.44831,2.00848,1.52026,2.02427,0.001208,0.001208,0.001208
22,171.268,1.70579,1.0387,1.4221,0.91203,0.83871,0.8943,0.50843,1.7922,1.50151,1.80444,0.0011684,0.0011684,0.0011684
23,179.121,1.73248,1.02057,1.42818,0.91338,0.73656,0.8648,0.46391,1.91953,1.51498,1.83724,0.0011288,0.0011288,0.0011288
24,186.767,1.72488,1.01547,1.4325,0.87357,0.8172,0.88933,0.4802,1.87645,1.21994,1.87125,0.0010892,0.0010892,0.0010892
25,194.45,1.64791,0.97002,1.39816,0.87496,0.79004,0.86319,0.48083,1.83984,1.31839,1.8013,0.0010496,0.0010496,0.0010496
26,202.145,1.68765,1.01563,1.43475,0.90211,0.84946,0.92294,0.49803,1.85015,1.41754,1.76105,0.00101,0.00101,0.00101
27,209.839,1.7201,1.00851,1.45734,0.9366,0.79419,0.88513,0.48929,1.94622,1.26502,1.8983,0.0009704,0.0009704,0.0009704
1,7.66933,3.20648,3.83851,2.39938,0.19968,0.15591,0.13752,0.04567,2.89269,6.00514,2.92854,0.00022,0.00022,0.00022
2,15.5866,2.1575,1.91331,1.64594,0.02174,0.32258,0.01438,0.0056,3.38909,132.885,3.61055,0.000450892,0.000450892,0.000450892
3,23.3451,2.05499,1.52136,1.56723,0.03213,0.32258,0.02057,0.00682,2.45477,54.8813,3.0627,0.00067228,0.00067228,0.00067228
4,31.0171,2.01885,1.5252,1.59377,0.00011,0.00538,5e-05,0,4.83083,24.9448,19.7968,0.000884164,0.000884164,0.000884164
5,38.7105,2.03938,1.51127,1.6383,0.08781,0.08602,0.0232,0.00512,4.53603,12.7565,5.86249,0.00108654,0.00108654,0.00108654
6,46.3691,1.99172,1.45064,1.57728,0.58853,0.30108,0.31683,0.13852,3.36785,3.78293,3.40761,0.00127942,0.00127942,0.00127942
7,54.3537,1.92266,1.33737,1.59249,0.11067,0.26344,0.07879,0.02246,2.76693,24.3858,2.90157,0.00146279,0.00146279,0.00146279
8,62.136,2.02881,1.36518,1.63183,0.01069,0.11828,0.00422,0.0015,nan,nan,nan,0.00163666,0.00163666,0.00163666
9,69.8307,1.95179,1.31963,1.59804,0.61958,0.50788,0.50884,0.19451,3.17939,12.9741,3.3194,0.0016832,0.0016832,0.0016832
10,77.7128,1.94479,1.25863,1.55421,0.73516,0.59696,0.65094,0.26926,2.4502,5.47245,2.43023,0.0016436,0.0016436,0.0016436
11,85.59,1.92148,1.26414,1.53569,0.63915,0.48925,0.56819,0.28645,2.73187,3.31003,2.36349,0.001604,0.001604,0.001604
12,93.4441,1.90318,1.24554,1.52255,0.77216,0.52842,0.59366,0.26514,2.76767,3.38204,2.67402,0.0015644,0.0015644,0.0015644
13,101.076,1.79944,1.19066,1.47579,0.76185,0.69355,0.71443,0.32187,2.34734,3.85901,2.4345,0.0015248,0.0015248,0.0015248
14,108.922,1.83362,1.15154,1.47708,0.85318,0.6828,0.7878,0.36768,1.91628,3.19731,1.93314,0.0014852,0.0014852,0.0014852
15,116.773,1.84065,1.14547,1.50562,0.55625,0.7043,0.67096,0.3543,2.11867,5.42485,2.08123,0.0014456,0.0014456,0.0014456
16,124.407,1.78689,1.13027,1.4772,0.90674,0.66667,0.81523,0.42306,1.87672,1.85318,1.85064,0.001406,0.001406,0.001406
17,132.267,1.78355,1.1045,1.46262,0.77555,0.6828,0.75493,0.35535,2.34875,3.0065,2.37717,0.0013664,0.0013664,0.0013664
18,139.904,1.81888,1.11187,1.53539,0.78442,0.60215,0.72241,0.32154,2.25241,2.48105,2.33505,0.0013268,0.0013268,0.0013268
19,147.552,1.7722,1.08398,1.46274,0.8743,0.77419,0.86298,0.42471,1.887,2.42574,1.95782,0.0012872,0.0012872,0.0012872
20,155.402,1.78136,1.10481,1.49514,0.8812,0.77419,0.85221,0.45202,1.72303,1.79195,1.76474,0.0012476,0.0012476,0.0012476
21,163.251,1.74057,1.08805,1.46815,0.90882,0.77419,0.88567,0.44831,2.00848,1.52026,2.02427,0.001208,0.001208,0.001208
22,171.09,1.70579,1.0387,1.4221,0.91203,0.83871,0.8943,0.50843,1.7922,1.50151,1.80444,0.0011684,0.0011684,0.0011684
23,178.928,1.73248,1.02057,1.42818,0.91338,0.73656,0.8648,0.46391,1.91953,1.51498,1.83724,0.0011288,0.0011288,0.0011288
24,186.578,1.72488,1.01547,1.4325,0.87357,0.8172,0.88933,0.4802,1.87645,1.21994,1.87125,0.0010892,0.0010892,0.0010892
25,194.217,1.64791,0.97002,1.39816,0.87496,0.79004,0.86319,0.48083,1.83984,1.31839,1.8013,0.0010496,0.0010496,0.0010496
26,201.889,1.68765,1.01563,1.43475,0.90211,0.84946,0.92294,0.49803,1.85015,1.41754,1.76105,0.00101,0.00101,0.00101
27,209.539,1.7201,1.00851,1.45734,0.9366,0.79419,0.88513,0.48929,1.94622,1.26502,1.8983,0.0009704,0.0009704,0.0009704
28,217.204,1.66589,0.97546,1.41649,0.92086,0.81326,0.88537,0.49967,1.55794,1.31042,1.65134,0.0009308,0.0009308,0.0009308
29,224.866,1.66282,0.96946,1.39287,0.94555,0.84033,0.90384,0.52338,1.56715,1.11422,1.63947,0.0008912,0.0008912,0.0008912
30,232.679,1.5924,0.93875,1.35571,0.88568,0.86022,0.90279,0.54308,1.61876,1.09243,1.62531,0.0008516,0.0008516,0.0008516
31,240.525,1.60117,0.92721,1.34908,0.919,0.84409,0.91088,0.49363,1.7194,1.15262,1.64448,0.000812,0.000812,0.000812
32,248.167,1.5893,0.89024,1.3828,0.95082,0.86559,0.92552,0.51004,1.68404,1.03371,1.62907,0.0007724,0.0007724,0.0007724
